"","pope","end_date","p_favorable","p_unfavorable","p_no_op"
"1","Francis",2014-02-09,76,9,16
"2","Francis",2013-04-14,58,10,31
"3","Benedict_XVI",2010-03-28,40,35,25
"4","Benedict_XVI",2008-04-20,63,15,22
"5","Benedict_XVI",2007-06-03,52,16,32
"6","Benedict_XVI",2005-12-18,50,11,39
"7","Benedict_XVI",2005-05-01,55,12,33
"8","JohnPaul_II",2005-02-27,78,11,11
"9","JohnPaul_II",2003-10-08,73,17,10
"10","JohnPaul_II",2002-05-01,61,26,13
"11","JohnPaul_II",1998-12-29,86,8,6
"12","JohnPaul_II",1993-08-10,64,15,21
